Sample Date,Site,SARS-Cov-2 normalized viral signal,Avg SARS-Cov-2 normalized viral signal
22-May-21,Humber,,66.439
23-May-21,Ashbridges Bay,,32.928
23-May-21,Highland Creek,41.184,66.869
23-May-21,Humber,,66.439
24-May-21,Ashbridges Bay,17.832,27.896
24-May-21,Highland Creek,32.131,44.075
24-May-21,Humber,21.068,47.54
25-May-21,Ashbridges Bay,22.605,20.961
25-May-21,Highland Creek,,36.657
25-May-21,Humber,99.052,57.053
26-May-21,Ashbridges Bay,,20.219
26-May-21,Highland Creek,30.143,34.486
26-May-21,Humber,35.937,46.347
27-May-21,Ashbridges Bay,12.453,17.63
27-May-21,Highland Creek,,34.486
27-May-21,Humber,60.768,48.206
28-May-21,Ashbridges Bay,,17.63
28-May-21,Highland Creek,,34.486
28-May-21,Humber,12.825,45.93
29-May-21,Ashbridges Bay,,17.63
29-May-21,Highland Creek,24.649,32.027
29-May-21,Humber,,45.93
30-May-21,Ashbridges Bay,12.209,16.275
30-May-21,Highland Creek,,28.974
30-May-21,Humber,,45.93
31-May-21,Ashbridges Bay,,15.756
31-May-21,Highland Creek,33.093,29.295
31-May-21,Humber,25.718,46.86
1-Jun-21,Ashbridges Bay,11.078,11.914
1-Jun-21,Highland Creek,25.432,28.329
1-Jun-21,Humber,23.435,31.737
2-Jun-21,Ashbridges Bay,,11.914
2-Jun-21,Highland Creek,,27.725
2-Jun-21,Humber,8.453,26.24
3-Jun-21,Ashbridges Bay,8.51,10.599
3-Jun-21,Highland Creek,,27.725
3-Jun-21,Humber,4.226,14.932
4-Jun-21,Ashbridges Bay,,10.599
4-Jun-21,Highland Creek,,27.725
4-Jun-21,Humber,0.03,12.373
5-Jun-21,Ashbridges Bay,,10.599
5-Jun-21,Highland Creek,13.419,23.981
5-Jun-21,Humber,,12.373
6-Jun-21,Ashbridges Bay,6.475,8.688
6-Jun-21,Highland Creek,,23.981
6-Jun-21,Humber,,12.373
7-Jun-21,Ashbridges Bay,,8.688
7-Jun-21,Highland Creek,10.092,16.314
7-Jun-21,Humber,8.759,8.981
8-Jun-21,Ashbridges Bay,5.851,6.945
8-Jun-21,Highland Creek,,11.755
8-Jun-21,Humber,38.194,11.933
9-Jun-21,Ashbridges Bay,,6.945
9-Jun-21,Highland Creek,9.161,10.891
9-Jun-21,Humber,12.036,12.649
10-Jun-21,Ashbridges Bay,1.824,4.717
10-Jun-21,Highland Creek,,10.891
10-Jun-21,Humber,37.55,19.314
11-Jun-21,Ashbridges Bay,,4.717
11-Jun-21,Highland Creek,,10.891
11-Jun-21,Humber,0.035,19.315
12-Jun-21,Ashbridges Bay,,4.717
12-Jun-21,Highland Creek,12.696,10.65
12-Jun-21,Humber,,19.315
13-Jun-21,Ashbridges Bay,36.322,14.666
13-Jun-21,Highland Creek,,10.65
13-Jun-21,Humber,,19.315
14-Jun-21,Ashbridges Bay,,14.666
14-Jun-21,Highland Creek,2.892,8.25
14-Jun-21,Humber,6.105,18.784
15-Jun-21,Ashbridges Bay,1.751,13.299
15-Jun-21,Highland Creek,,8.25
15-Jun-21,Humber,10.808,13.307
16-Jun-21,Ashbridges Bay,,13.299
16-Jun-21,Highland Creek,5.496,7.028
16-Jun-21,Humber,30.054,16.911
17-Jun-21,Ashbridges Bay,3.428,13.833
17-Jun-21,Highland Creek,,7.028
17-Jun-21,Humber,7.783,10.957
18-Jun-21,Ashbridges Bay,,13.833
18-Jun-21,Highland Creek,,7.028
18-Jun-21,Humber,4.225,11.795
19-Jun-21,Ashbridges Bay,,13.833
19-Jun-21,Highland Creek,5.5,4.629
19-Jun-21,Humber,,11.795
20-Jun-21,Ashbridges Bay,5.609,3.596
20-Jun-21,Highland Creek,,4.629
20-Jun-21,Humber,,11.795
21-Jun-21,Ashbridges Bay,,3.596
21-Jun-21,Highland Creek,6.904,5.967
21-Jun-21,Humber,6.888,11.952
22-Jun-21,Ashbridges Bay,3.026,4.021
22-Jun-21,Highland Creek,,5.967
22-Jun-21,Humber,7.513,11.293
23-Jun-21,Ashbridges Bay,,4.021
23-Jun-21,Highland Creek,0.987,4.464
23-Jun-21,Humber,4.746,6.231
24-Jun-21,Ashbridges Bay,2.33,3.655
24-Jun-21,Highland Creek,,4.464
24-Jun-21,Humber,2.265,5.127
25-Jun-21,Ashbridges Bay,,3.655
25-Jun-21,Highland Creek,,4.464
25-Jun-21,Humber,2.729,4.828
26-Jun-21,Ashbridges Bay,,3.655
26-Jun-21,Highland Creek,,3.946
26-Jun-21,Humber,,4.828
27-Jun-21,Ashbridges Bay,1.711,2.356
27-Jun-21,Highland Creek,2.771,3.554
27-Jun-21,Humber,,4.828
28-Jun-21,Ashbridges Bay,2.522,2.397
28-Jun-21,Highland Creek,2.769,2.176
28-Jun-21,Humber,14.713,6.393
29-Jun-21,Ashbridges Bay,1.764,2.082
29-Jun-21,Highland Creek,,2.176
29-Jun-21,Humber,0.054,4.901
30-Jun-21,Ashbridges Bay,,2.082
30-Jun-21,Highland Creek,,2.77
30-Jun-21,Humber,0.296,4.011
1-Jul-21,Ashbridges Bay,,1.999
1-Jul-21,Highland Creek,,2.77
1-Jul-21,Humber,3.234,4.205
2-Jul-21,Ashbridges Bay,,1.999
2-Jul-21,Highland Creek,,2.77
2-Jul-21,Humber,0.093,3.678
3-Jul-21,Ashbridges Bay,,1.999
3-Jul-21,Highland Creek,3.318,2.952
3-Jul-21,Humber,,3.678
4-Jul-21,Ashbridges Bay,3.484,2.59
4-Jul-21,Highland Creek,,3.043
4-Jul-21,Humber,,3.678
5-Jul-21,Ashbridges Bay,,2.624
5-Jul-21,Highland Creek,1.986,2.652
5-Jul-21,Humber,3.954,1.526
6-Jul-21,Ashbridges Bay,1.089,2.286
6-Jul-21,Highland Creek,,2.652
6-Jul-21,Humber,4.899,2.495
7-Jul-21,Ashbridges Bay,,2.286
7-Jul-21,Highland Creek,6.375,3.893
7-Jul-21,Humber,0.084,2.453
8-Jul-21,Ashbridges Bay,0.939,1.837
8-Jul-21,Highland Creek,,3.893
8-Jul-21,Humber,0.175,1.841
9-Jul-21,Ashbridges Bay,,1.837
9-Jul-21,Highland Creek,,3.893
9-Jul-21,Humber,0.105,1.843
10-Jul-21,Ashbridges Bay,,1.837
10-Jul-21,Highland Creek,2.268,3.543
10-Jul-21,Humber,,1.843
11-Jul-21,Ashbridges Bay,0.659,0.896
11-Jul-21,Highland Creek,,3.543
11-Jul-21,Humber,,1.843
12-Jul-21,Ashbridges Bay,,0.896
12-Jul-21,Highland Creek,1.492,3.378
12-Jul-21,Humber,6.286,2.31
13-Jul-21,Ashbridges Bay,1.494,1.031
13-Jul-21,Highland Creek,,3.378
13-Jul-21,Humber,0.122,1.354
14-Jul-21,Ashbridges Bay,,1.031
14-Jul-21,Highland Creek,8.564,4.108
14-Jul-21,Humber,1.976,1.733
15-Jul-21,Ashbridges Bay,1.282,1.145
15-Jul-21,Highland Creek,,4.108
15-Jul-21,Humber,2.497,2.197
16-Jul-21,Ashbridges Bay,,1.145
16-Jul-21,Highland Creek,,4.108
16-Jul-21,Humber,2.001,2.576
17-Jul-21,Ashbridges Bay,,1.145
17-Jul-21,Highland Creek,5.722,5.259
17-Jul-21,Humber,,2.576
18-Jul-21,Ashbridges Bay,2.709,1.828
18-Jul-21,Highland Creek,1.574,4.338
18-Jul-21,Humber,,2.576
19-Jul-21,Ashbridges Bay,0.922,1.602
19-Jul-21,Highland Creek,2.723,4.646
19-Jul-21,Humber,15.491,4.417
20-Jul-21,Ashbridges Bay,0.767,1.42
20-Jul-21,Highland Creek,1.273,3.971
20-Jul-21,Humber,3.338,5.061
21-Jul-21,Ashbridges Bay,0.957,1.327
21-Jul-21,Highland Creek,1.694,2.597
21-Jul-21,Humber,37.066,12.079
22-Jul-21,Ashbridges Bay,0.643,1.2
22-Jul-21,Highland Creek,,2.597
22-Jul-21,Humber,14.825,14.544
23-Jul-21,Ashbridges Bay,,1.2
23-Jul-21,Highland Creek,,2.597
23-Jul-21,Humber,8.683,15.881
24-Jul-21,Ashbridges Bay,,1.2
24-Jul-21,Highland Creek,4.707,2.394
24-Jul-21,Humber,,15.881
25-Jul-21,Ashbridges Bay,0.665,0.791
25-Jul-21,Highland Creek,1.399,2.359
25-Jul-21,Humber,,15.881
26-Jul-21,Ashbridges Bay,0.791,0.765
26-Jul-21,Highland Creek,1.691,2.153
26-Jul-21,Humber,2.322,13.247
27-Jul-21,Ashbridges Bay,0.957,0.803
27-Jul-21,Highland Creek,1.494,2.197
27-Jul-21,Humber,3.065,13.192
28-Jul-21,Ashbridges Bay,,0.764
28-Jul-21,Highland Creek,3.054,2.469
28-Jul-21,Humber,,7.224
29-Jul-21,Ashbridges Bay,2.955,1.342
29-Jul-21,Highland Creek,,2.469
29-Jul-21,Humber,0.17,3.56
30-Jul-21,Ashbridges Bay,,1.342
30-Jul-21,Highland Creek,,2.469
30-Jul-21,Humber,5.628,2.796
31-Jul-21,Ashbridges Bay,,1.342
31-Jul-21,Highland Creek,,1.909
31-Jul-21,Humber,,2.796
1-Aug-21,Ashbridges Bay,,1.567
1-Aug-21,Highland Creek,2.863,2.275
1-Aug-21,Humber,,2.796
2-Aug-21,Ashbridges Bay,1.582,1.831
2-Aug-21,Highland Creek,3.519,2.732
2-Aug-21,Humber,25.096,8.49
3-Aug-21,Ashbridges Bay,1.828,2.122
3-Aug-21,Highland Creek,2.873,3.077
3-Aug-21,Humber,7.081,9.494
4-Aug-21,Ashbridges Bay,4.617,2.745
4-Aug-21,Highland Creek,6.58,3.959
4-Aug-21,Humber,7.046,9.004
5-Aug-21,Ashbridges Bay,3.855,2.97
5-Aug-21,Highland Creek,,3.959
5-Aug-21,Humber,18.437,12.658
6-Aug-21,Ashbridges Bay,,2.97
6-Aug-21,Highland Creek,,3.959
6-Aug-21,Humber,8.911,13.314
7-Aug-21,Ashbridges Bay,,2.97
7-Aug-21,Highland Creek,2.139,3.595
7-Aug-21,Humber,,13.314
8-Aug-21,Ashbridges Bay,4.005,3.177
8-Aug-21,Highland Creek,1.736,3.369
8-Aug-21,Humber,,13.314
9-Aug-21,Ashbridges Bay,1.454,3.151
9-Aug-21,Highland Creek,,3.332
9-Aug-21,Humber,9.399,10.175
10-Aug-21,Ashbridges Bay,1.735,3.133
